round,eval_global_loss
1,0.888321875333786
2,0.522066695590814
3,0.19015933913489183
4,0.11773463463783264
5,0.10573325536648433
6,0.09988148736953735
7,0.09476051909228166
8,0.09277548333505789
9,0.09183499049892029
10,0.09167939463754494
11,0.09098932591080666
12,0.08971475332230329
13,0.08962644301603238
14,0.08961216687659422
15,0.08900121133277814
16,0.08869520977636178
17,0.0883599588945508
18,0.08844482058535019
19,0.08809991504748663
20,0.08801359903315703
21,0.08745546469589074
22,0.08774326270570358
23,0.08742180451750756
24,0.08751591289043427
25,0.08707965349654356
26,0.08723247000575066
27,0.08682468174397945
