accuracy_top1,accuracy_top3,accuracy_top5,accuracy_top10,label,round
0.9921875,0.998046875,0.998046875,1.0,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.9901719901719902,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.98828125,0.998046875,0.998046875,1.0,0,1
0.98828125,0.99609375,0.99609375,0.998046875,0,1
0.982421875,0.998046875,0.998046875,0.998046875,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.986328125,0.998046875,0.998046875,0.998046875,0,1
0.984375,0.99609375,0.99609375,0.998046875,0,1
0.9926289926289926,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.984375,0.994140625,0.99609375,0.99609375,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.990234375,1.0,1.0,1.0,0,1
0.9921875,1.0,1.0,1.0,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.978515625,0.994140625,0.99609375,0.998046875,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.9901719901719902,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.9877149877149877,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.986328125,0.998046875,0.998046875,0.998046875,0,1
0.995085995085995,0.9975429975429976,0.9975429975429976,1.0,0,1
0.98828125,0.998046875,1.0,1.0,0,1
0.982421875,0.994140625,0.994140625,0.99609375,0,1
0.984375,0.994140625,0.99609375,1.0,0,1
0.982421875,0.99609375,0.998046875,0.998046875,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.990234375,0.99609375,0.99609375,0.99609375,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.990234375,0.998046875,0.998046875,1.0,0,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.986328125,0.99609375,0.998046875,0.998046875,0,1
0.9852579852579852,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.995085995085995,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.986328125,1.0,1.0,1.0,0,1
0.9921875,0.998046875,0.998046875,0.998046875,0,1
0.9921875,0.998046875,0.998046875,0.998046875,0,1
0.986328125,0.998046875,0.998046875,0.998046875,0,1
0.990234375,0.998046875,0.998046875,1.0,0,1
0.9828009828009828,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.9828009828009828,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.9926108374384236,1.0,1.0,1.0,0,1
0.994140625,0.998046875,0.998046875,0.998046875,0,1
0.98046875,1.0,1.0,1.0,0,1
0.98046875,1.0,1.0,1.0,0,1
0.9921875,1.0,1.0,1.0,0,1
0.9852579852579852,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.9765625,0.990234375,0.990234375,0.9921875,1,1
0.990234375,0.998046875,0.998046875,0.998046875,0,1
0.9921875,1.0,1.0,1.0,0,1
0.9921875,0.998046875,0.998046875,1.0,0,1
0.995085995085995,0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.9921875,0.998046875,0.998046875,0.998046875,0,1
0.9921875,1.0,1.0,1.0,0,1
0.986328125,0.99609375,0.998046875,0.998046875,0,1
0.98828125,1.0,1.0,1.0,0,1
0.984375,0.994140625,0.994140625,0.99609375,0,1
0.986328125,0.99609375,0.998046875,1.0,0,1
0.982421875,0.998046875,0.998046875,1.0,0,1
0.98828125,0.998046875,0.998046875,0.998046875,0,1
0.986328125,0.99609375,0.998046875,1.0,0,1
