accuracy_top3,accuracy_top5,accuracy_top10,label,round
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,1.0,0,1
0.99609375,0.99609375,0.99609375,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.99609375,0.99609375,0.99609375,0,1
0.9975429975429976,0.9975429975429976,1.0,0,1
0.99609375,0.99609375,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.99609375,0.99609375,0.99609375,0,1
0.9975429975429976,0.9975429975429976,1.0,0,1
0.998046875,1.0,1.0,0,1
0.994140625,0.99609375,0.99609375,0,1
0.998046875,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.99609375,0.99609375,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.99609375,0.99609375,0.99609375,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,1.0,1.0,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
1.0,1.0,1.0,0,1
1.0,1.0,1.0,0,1
0.9975429975429976,1.0,1.0,0,1
0.986328125,0.98828125,0.9921875,1,1
0.998046875,0.998046875,1.0,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
0.99609375,0.99609375,0.99609375,0,1
1.0,1.0,1.0,0,1
0.994140625,0.994140625,0.994140625,0,1
0.99609375,0.998046875,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.99609375,0.99609375,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.99609375,0.99609375,0.99609375,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
0.9921875,0.994140625,0.994140625,0,1
0.9921875,0.9921875,0.994140625,0,1
0.998046875,0.998046875,0.998046875,0,1
0.99609375,0.99609375,0.99609375,0,1
0.998046875,0.998046875,0.998046875,1,1
0.9975429975429976,0.9975429975429976,1.0,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9137931034482759,0.9224137931034483,0.9396551724137931,1,1
1.0,1.0,1.0,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,1.0,0,1
0.9975429975429976,0.9975429975429976,0.9975429975429976,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
0.99609375,0.99609375,0.99609375,0,1
0.99609375,0.99609375,0.998046875,0,1
0.994140625,0.99609375,0.99609375,0,1
0.998046875,0.998046875,0.998046875,0,1
0.994140625,0.994140625,0.994140625,0,1
0.9921875,0.9921875,0.994140625,1,1
0.998046875,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.9928571428571429,0.9928571428571429,0.9952380952380953,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
1.0,1.0,1.0,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.998046875,0.998046875,0.998046875,0,1
0.99609375,0.99609375,0.998046875,0,1
1.0,1.0,1.0,0,1
