round,eval_global_loss
1,0.27749631340801717
2,0.17552996439486743
3,0.12425714644044637
4,0.09756930705159902
5,0.09585250686854124
6,0.09310852621495724
7,0.09383682110905647
8,0.0902936396971345
9,0.08993900079280139
10,0.08828182265162468
11,0.08748793047666549
12,0.08748290652781725
13,0.08749558287113905
14,0.08684571788460016
15,0.08671009718626738
16,0.085705072671175
17,0.08513330144435168
18,0.0848604618832469
19,0.08473900943249464
20,0.08450005578249693
21,0.08471852247416974
22,0.08475610509514808
23,0.08451093100756407
24,0.08414688444137573
25,0.08421475927531719
