round,k,threshold,f1,precision,recall
1,1,0.9769769769769769,0.6153846153846154,0.7764705882352941,0.5096525096525096
1,3,0.98998998998999,0.6273584905660378,0.806060606060606,0.5135135135135135
1,5,0.991991991991992,0.6378132118451025,0.7777777777777778,0.5405405405405406
1,10,0.994994994994995,0.5871212121212122,0.5762081784386617,0.5984555984555985
2,1,0.974974974974975,0.6054590570719603,0.8472222222222222,0.47104247104247104
2,3,0.991991991991992,0.6916666666666667,0.751131221719457,0.640926640926641
2,5,0.991991991991992,0.6380090497737556,0.7704918032786885,0.5444015444015444
2,10,0.991991991991992,0.5641025641025641,0.8396946564885496,0.4247104247104247
3,1,0.97997997997998,0.6496062992125984,0.6626506024096386,0.637065637065637
3,3,0.98998998998999,0.6723404255319149,0.7488151658767772,0.61003861003861
3,5,0.98998998998999,0.6258823529411764,0.8012048192771084,0.5135135135135135
3,10,0.994994994994995,0.5286195286195287,0.46865671641791046,0.6061776061776062
4,1,0.97997997997998,0.5988700564971752,0.5845588235294118,0.6138996138996139
4,3,0.98998998998999,0.7213114754098361,0.7685589519650655,0.6795366795366795
4,5,0.98998998998999,0.5927710843373494,0.7884615384615384,0.4749034749034749
4,10,0.991991991991992,0.5256124721603563,0.6210526315789474,0.4555984555984556
5,1,0.97997997997998,0.6059225512528473,0.7388888888888889,0.5135135135135135
5,3,0.991991991991992,0.727580372250423,0.6475903614457831,0.8301158301158301
5,5,0.991991991991992,0.6973947895791583,0.725,0.6718146718146718
5,10,0.994994994994995,0.6857142857142857,0.6071428571428571,0.7876447876447876
6,1,0.984984984984985,0.6388888888888888,0.532133676092545,0.7992277992277992
6,3,0.991991991991992,0.7559322033898305,0.6737160120845922,0.861003861003861
6,5,0.991991991991992,0.7431693989071039,0.7034482758620689,0.7876447876447876
6,10,0.994994994994995,0.7198641765704584,0.6424242424242425,0.8185328185328186
7,1,0.97997997997998,0.5954825462012321,0.6359649122807017,0.5598455598455598
7,3,0.991991991991992,0.8479087452471483,0.8352059925093633,0.861003861003861
7,5,0.994994994994995,0.7762711864406779,0.6918429003021148,0.8841698841698842
7,10,0.996996996996997,0.8006993006993007,0.731629392971246,0.8841698841698842
8,1,0.9819819819819819,0.6745098039215687,0.6852589641434262,0.6640926640926641
8,3,0.993993993993994,0.8592057761732852,0.8067796610169492,0.918918918918919
8,5,0.994994994994995,0.8783269961977186,0.8651685393258427,0.8918918918918919
8,10,0.995995995995996,0.8773946360153256,0.870722433460076,0.8841698841698842
9,1,0.9819819819819819,0.7083333333333334,0.7692307692307693,0.6563706563706564
9,3,0.993993993993994,0.879245283018868,0.8597785977859779,0.8996138996138996
9,5,0.996996996996997,0.8929889298892989,0.8551236749116607,0.9343629343629344
9,10,0.996996996996997,0.8938547486033519,0.8633093525179856,0.9266409266409267
10,1,0.984984984984985,0.7072243346007605,0.6966292134831461,0.7181467181467182
10,3,0.993993993993994,0.8939393939393939,0.8773234200743495,0.9111969111969112
10,5,0.995995995995996,0.9001883239171374,0.8786764705882353,0.9227799227799228
10,10,0.996996996996997,0.8488372093023255,0.8521400778210116,0.8455598455598455
11,1,0.984984984984985,0.6691312384473198,0.6418439716312057,0.6988416988416989
11,3,0.993993993993994,0.8977272727272727,0.8810408921933085,0.915057915057915
11,5,0.995995995995996,0.8549019607843137,0.8685258964143426,0.8416988416988417
11,10,0.996996996996997,0.8392156862745098,0.852589641434263,0.8262548262548263
12,1,0.984984984984985,0.6615678776290631,0.6553030303030303,0.667953667953668
12,3,0.993993993993994,0.8956356736242884,0.8805970149253731,0.9111969111969112
12,5,0.995995995995996,0.8926553672316384,0.8713235294117647,0.915057915057915
12,10,0.996996996996997,0.8389662027833003,0.8647540983606558,0.8146718146718147
13,1,0.984984984984985,0.6978557504873294,0.7047244094488189,0.6911196911196911
13,3,0.994994994994995,0.8960302457466919,0.8777777777777778,0.915057915057915
13,5,0.996996996996997,0.8962962962962963,0.8612099644128114,0.9343629343629344
13,10,0.997997997997998,0.8333333333333334,0.8178438661710037,0.8494208494208494
14,1,0.984984984984985,0.6964980544747081,0.7019607843137254,0.6911196911196911
14,3,0.994994994994995,0.8939393939393939,0.8773234200743495,0.9111969111969112
14,5,0.996996996996997,0.8488372093023255,0.8521400778210116,0.8455598455598455
14,10,0.997997997997998,0.8349146110056926,0.8208955223880597,0.8494208494208494
15,1,0.984984984984985,0.7001934235976789,0.7015503875968992,0.6988416988416989
15,3,0.994994994994995,0.8960302457466919,0.8777777777777778,0.915057915057915
15,5,0.996996996996997,0.895910780669145,0.8637992831541219,0.9305019305019305
15,10,0.997997997997998,0.8326996197718631,0.8202247191011236,0.8455598455598455
